Date,Open,High,Low,Close,Adj Close,Volume
1-Jun-21,"1,438.33","1,443.81","1,413.30","1,413.81","1,413.81","194,862,500"
28-May-21,"1,434.16","1,449.84","1,434.16","1,437.44","1,437.44","139,484,300"
27-May-21,"1,435.88","1,439.86","1,431.69","1,433.16","1,433.16","269,202,500"
26-May-21,"1,443.93","1,443.93","1,429.34","1,435.48","1,435.48","174,656,400"
25-May-21,"1,448.23","1,450.03","1,442.34","1,443.59","1,443.59","166,253,600"
24-May-21,"1,448.82","1,457.09","1,447.66","1,447.97","1,447.97","136,949,200"
21-May-21,"1,448.22","1,462.53","1,446.65","1,447.14","1,447.14","156,390,300"
20-May-21,"1,432.93","1,453.30","1,432.93","1,447.62","1,447.62","154,127,100"
19-May-21,"1,432.72","1,433.23","1,415.84","1,432.71","1,432.71","160,587,800"
18-May-21,"1,435.11","1,443.14","1,429.37","1,434.77","1,434.77","146,690,000"
17-May-21,"1,436.40","1,441.93","1,433.67","1,434.08","1,434.08","141,104,600"
14-May-21,"1,432.55","1,441.78","1,432.55","1,436.47","1,436.47","129,593,600"
13-May-21,"1,417.07","1,436.52","1,417.07","1,430.99","1,430.99","154,427,900"
12-May-21,"1,431.06","1,431.06","1,416.19","1,417.53","1,417.53","182,002,000"
11-May-21,"1,444.58","1,444.94","1,428.05","1,431.91","1,431.91","180,686,600"
10-May-21,"1,446.18","1,457.86","1,445.94","1,446.02","1,446.02","199,494,600"
7-May-21,"1,434.81","1,452.18","1,434.81","1,444.60","1,444.60","176,151,000"
6-May-21,"1,429.62","1,434.77","1,417.62","1,434.29","1,434.29","208,887,100"
5-May-21,"1,431.00","1,437.97","1,426.43","1,433.22","1,433.22","192,651,700"
4-May-21,"1,429.60","1,431.74","1,421.49","1,429.98","1,429.98","235,871,200"
3-May-21,"1,414.36","1,431.11","1,414.36","1,429.43","1,429.43","192,096,800"
30-Apr-21,"1,416.88","1,420.23","1,411.05","1,412.92","1,412.92","204,936,600"
29-Apr-21,"1,422.98","1,424.96","1,410.24","1,417.49","1,417.49","197,396,800"
28-Apr-21,"1,425.28","1,427.00","1,421.56","1,423.00","1,423.00","159,590,700"
27-Apr-21,"1,433.39","1,433.39","1,425.72","1,427.98","1,427.98","153,317,100"
26-Apr-21,"1,440.84","1,440.84","1,433.57","1,435.26","1,435.26","138,419,600"
23-Apr-21,"1,430.78","1,444.21","1,427.96","1,440.34","1,440.34","147,799,800"
22-Apr-21,"1,435.84","1,440.10","1,426.31","1,431.16","1,431.16","178,232,300"
21-Apr-21,"1,422.33","1,438.69","1,422.33","1,437.30","1,437.30","164,490,400"
20-Apr-21,"1,414.73","1,424.64","1,409.13","1,421.13","1,421.13","169,920,500"
19-Apr-21,"1,415.03","1,416.05","1,408.96","1,415.09","1,415.09","159,094,400"
16-Apr-21,"1,406.20","1,416.92","1,406.20","1,415.24","1,415.24","223,604,400"
15-Apr-21,"1,382.68","1,408.95","1,382.68","1,404.75","1,404.75","162,700,000"
14-Apr-21,"1,382.60","1,386.69","1,378.84","1,380.68","1,380.68","141,811,600"
13-Apr-21,"1,371.70","1,385.77","1,371.70","1,382.34","1,382.34","172,083,600"
12-Apr-21,"1,375.18","1,379.29","1,372.19","1,376.24","1,376.24","147,805,800"
9-Apr-21,"1,360.35","1,375.82","1,360.35","1,375.56","1,375.56","147,818,700"
8-Apr-21,"1,359.49","1,366.11","1,358.54","1,359.72","1,359.72","139,860,400"
7-Apr-21,"1,361.14","1,364.96","1,354.56","1,358.17","1,358.17","146,322,600"
6-Apr-21,"1,368.17","1,371.99","1,359.22","1,361.46","1,361.46","156,717,100"
5-Apr-21,"1,358.38","1,370.74","1,358.38","1,366.35","1,366.35","149,748,600"
1-Apr-21,"1,360.41","1,364.55","1,352.81","1,357.40","1,357.40","146,921,800"
31-Mar-21,"1,358.63","1,369.38","1,358.63","1,360.34","1,360.34","187,549,600"
30-Mar-21,"1,370.36","1,370.36","1,355.70","1,358.45","1,358.45","155,264,700"
29-Mar-21,"1,364.97","1,375.81","1,358.99","1,370.87","1,370.87","157,708,400"
26-Mar-21,"1,340.57","1,366.50","1,339.76","1,365.45","1,365.45","167,561,800"
25-Mar-21,"1,335.24","1,342.02","1,322.16","1,338.97","1,338.97","161,797,300"
24-Mar-21,"1,335.80","1,344.34","1,334.59","1,334.81","1,334.81","163,222,400"
23-Mar-21,"1,348.23","1,349.65","1,332.31","1,335.59","1,335.59","164,650,500"
22-Mar-21,"1,337.39","1,350.06","1,329.54","1,349.51","1,349.51","162,893,800"
19-Mar-21,"1,333.13","1,345.39","1,327.60","1,337.41","1,337.41","345,914,500"
18-Mar-21,"1,334.08","1,343.81","1,328.67","1,332.61","1,332.61","174,091,200"
17-Mar-21,"1,339.92","1,341.37","1,327.71","1,335.15","1,335.15","203,726,000"
16-Mar-21,"1,341.28","1,345.17","1,335.72","1,340.61","1,340.61","165,211,300"
15-Mar-21,"1,329.50","1,341.62","1,328.52","1,341.12","1,341.12","176,454,800"
12-Mar-21,"1,329.05","1,333.95","1,324.65","1,332.42","1,332.42","142,308,400"
11-Mar-21,"1,323.62","1,337.69","1,323.62","1,330.59","1,330.59","164,836,300"
10-Mar-21,"1,320.68","1,335.56","1,320.68","1,322.33","1,322.33","185,904,800"
9-Mar-21,"1,313.38","1,340.12","1,310.79","1,319.47","1,319.47","195,381,400"
8-Mar-21,"1,314.85","1,332.65","1,310.79","1,311.39","1,311.39","186,945,600"
5-Mar-21,"1,290.72","1,319.22","1,286.97","1,315.13","1,315.13","210,857,000"
4-Mar-21,"1,306.97","1,312.43","1,279.42","1,289.06","1,289.06","248,712,700"
3-Mar-21,"1,323.19","1,323.19","1,304.23","1,306.45","1,306.45","212,634,000"
2-Mar-21,"1,327.64","1,333.75","1,322.67","1,324.03","1,324.03","173,263,200"
1-Mar-21,"1,315.30","1,333.73","1,315.30","1,327.31","1,327.31","181,581,200"
26-Feb-21,"1,321.94","1,325.97","1,307.67","1,311.27","1,311.27","253,928,100"
25-Feb-21,"1,335.05","1,338.22","1,315.42","1,321.95","1,321.95","196,672,900"
24-Feb-21,"1,327.03","1,342.65","1,323.40","1,335.20","1,335.20","191,239,700"
23-Feb-21,"1,328.32","1,335.13","1,320.01","1,326.48","1,326.48","221,614,100"
22-Feb-21,"1,330.39","1,332.33","1,316.76","1,328.53","1,328.53","219,416,000"
19-Feb-21,"1,348.50","1,349.78","1,331.46","1,332.52","1,332.52","199,342,700"
18-Feb-21,"1,355.36","1,355.36","1,343.30","1,347.97","1,347.97","165,184,400"
17-Feb-21,"1,350.16","1,357.57","1,346.01","1,356.79","1,356.79","172,389,300"
16-Feb-21,"1,366.52","1,368.59","1,348.03","1,351.99","1,351.99","192,855,200"
12-Feb-21,"1,355.79","1,367.17","1,351.41","1,365.94","1,365.94","149,140,300"
11-Feb-21,"1,354.72","1,358.92","1,349.57","1,355.74","1,355.74","146,880,900"
10-Feb-21,"1,355.19","1,359.77","1,348.88","1,353.55","1,353.55","172,498,900"
9-Feb-21,"1,349.85","1,352.21","1,347.68","1,351.29","1,351.29","171,991,800"
8-Feb-21,"1,348.43","1,354.43","1,345.32","1,349.60","1,349.60","187,721,000"
5-Feb-21,"1,345.45","1,355.82","1,344.39","1,347.65","1,347.65","206,493,200"
4-Feb-21,"1,337.66","1,350.66","1,337.31","1,344.26","1,344.26","216,099,300"
3-Feb-21,"1,349.58","1,349.77","1,335.44","1,339.46","1,339.46","213,527,200"
2-Feb-21,"1,347.07","1,362.35","1,347.07","1,348.92","1,348.92","253,091,800"
1-Feb-21,"1,343.56","1,355.72","1,343.33","1,345.17","1,345.17","195,246,900"
29-Jan-21,"1,353.08","1,368.24","1,329.53","1,340.92","1,340.92","277,637,000"
28-Jan-21,"1,334.09","1,368.24","1,334.09","1,352.11","1,352.11","219,892,500"
27-Jan-21,"1,371.94","1,371.94","1,329.51","1,332.42","1,332.42","266,882,600"
26-Jan-21,"1,380.39","1,386.94","1,373.82","1,374.40","1,374.40","154,710,600"
25-Jan-21,"1,370.66","1,380.19","1,368.96","1,379.86","1,379.86","165,435,500"
22-Jan-21,"1,374.74","1,378.13","1,369.01","1,370.90","1,370.90","149,083,100"
21-Jan-21,"1,380.43","1,380.44","1,370.42","1,374.72","1,374.72","183,841,400"
20-Jan-21,"1,374.19","1,383.55","1,368.44","1,381.65","1,381.65","174,016,600"
19-Jan-21,"1,367.33","1,378.19","1,366.89","1,373.74","1,373.74","189,349,800"
15-Jan-21,"1,358.17","1,366.56","1,350.56","1,363.26","1,363.26","208,832,500"
14-Jan-21,"1,364.62","1,370.86","1,357.74","1,358.91","1,358.91","214,585,100"
13-Jan-21,"1,360.30","1,369.12","1,355.34","1,364.15","1,364.15","173,855,300"
12-Jan-21,"1,375.63","1,377.95","1,354.93","1,360.72","1,360.72","203,593,200"
11-Jan-21,"1,372.98","1,377.95","1,368.21","1,375.46","1,375.46","196,435,100"
8-Jan-21,"1,363.71","1,375.07","1,345.67","1,368.54","1,368.54","174,328,600"
7-Jan-21,"1,345.99","1,364.67","1,345.67","1,362.09","1,362.09","180,758,900"
6-Jan-21,"1,344.35","1,344.35","1,344.35","1,344.35","1,344.35","184,003,450"
5-Jan-21,"1,315.91","1,331.38","1,310.10","1,325.67","1,325.67","187,248,000"
4-Jan-21,"1,324.57","1,328.66","1,296.42","1,316.89","1,316.89","218,506,800"
31-Dec-20,"1,309.31","1,325.21","1,305.53","1,324.01","1,324.01","136,352,800"
30-Dec-20,"1,311.18","1,316.91","1,308.50","1,309.08","1,309.08","117,325,800"
29-Dec-20,"1,308.34","1,315.64","1,305.71","1,309.07","1,309.07","116,713,300"
28-Dec-20,"1,304.00","1,309.83","1,300.45","1,303.37","1,303.37","116,688,100"
24-Dec-20,"1,297.32","1,302.87","1,295.97","1,299.88","1,299.88","54,431,100"
23-Dec-20,"1,299.16","1,306.57","1,296.71","1,296.78","1,296.78","136,554,800"
22-Dec-20,"1,298.88","1,300.49","1,289.12","1,295.75","1,295.75","161,497,700"
21-Dec-20,"1,307.94","1,307.94","1,276.94","1,299.99","1,299.99","192,275,300"
18-Dec-20,"1,312.57","1,316.00","1,299.53","1,312.65","1,312.65","375,493,900"
17-Dec-20,"1,300.16","1,313.02","1,300.16","1,312.28","1,312.28","211,244,800"
16-Dec-20,"1,302.09","1,305.53","1,293.11","1,297.69","1,297.69","211,214,800"
15-Dec-20,"1,291.57","1,304.74","1,290.19","1,302.04","1,302.04","238,562,000"
14-Dec-20,"1,304.48","1,314.42","1,288.11","1,288.29","1,288.29","278,288,100"
11-Dec-20,"1,301.75","1,301.75","1,290.26","1,298.49","1,298.49","203,338,800"
10-Dec-20,"1,305.89","1,310.88","1,301.24","1,303.91","1,303.91","190,042,200"
9-Dec-20,"1,311.95","1,316.01","1,300.26","1,306.48","1,306.48","237,753,300"
8-Dec-20,"1,300.40","1,311.57","1,298.92","1,310.26","1,310.26","231,853,200"
7-Dec-20,"1,308.51","1,308.61","1,296.23","1,300.77","1,300.77","190,102,600"
4-Dec-20,"1,294.46","1,308.89","1,293.40","1,308.88","1,308.88","191,906,100"
3-Dec-20,"1,296.72","1,300.32","1,290.02","1,294.77","1,294.77","231,065,000"
2-Dec-20,"1,288.00","1,299.08","1,288.00","1,296.94","1,296.94","236,052,500"
1-Dec-20,"1,283.54","1,301.30","1,283.54","1,286.61","1,286.61","236,047,900"
30-Nov-20,"1,274.21","1,277.71","1,267.47","1,276.31","1,276.31","316,596,200"
27-Nov-20,"1,263.80","1,274.02","1,262.42","1,272.68","1,272.68","101,391,500"
25-Nov-20,"1,266.19","1,267.77","1,256.24","1,260.66","1,260.66","165,260,300"
24-Nov-20,"1,264.05","1,274.57","1,262.18","1,266.01","1,266.01","239,385,700"
23-Nov-20,"1,268.81","1,272.34","1,254.54","1,262.42","1,262.42","203,890,600"
20-Nov-20,"1,268.08","1,272.24","1,262.45","1,266.25","1,266.25","243,101,100"
19-Nov-20,"1,270.52","1,271.17","1,260.15","1,268.74","1,268.74","219,835,300"
18-Nov-20,"1,296.54","1,296.82","1,270.40","1,270.51","1,270.51","250,920,600"
17-Nov-20,"1,298.76","1,298.88","1,288.53","1,293.30","1,293.30","294,692,100"
16-Nov-20,"1,309.99","1,314.03","1,296.74","1,302.87","1,302.87","226,931,900"
13-Nov-20,"1,294.18","1,309.99","1,293.33","1,305.40","1,305.40","171,862,700"
12-Nov-20,"1,290.66","1,296.40","1,280.67","1,288.60","1,288.60","179,800,500"
11-Nov-20,"1,301.19","1,305.32","1,287.91","1,293.81","1,293.81","203,254,500"
10-Nov-20,"1,297.05","1,300.70","1,281.98","1,295.95","1,295.95","277,517,000"
9-Nov-20,"1,301.26","1,329.58","1,290.81","1,291.38","1,291.38","458,810,700"
6-Nov-20,"1,281.68","1,288.33","1,273.17","1,282.04","1,282.04","177,987,100"
5-Nov-20,"1,284.60","1,295.28","1,277.61","1,280.07","1,280.07","220,110,600"
4-Nov-20,"1,239.46","1,297.75","1,239.46","1,277.71","1,277.71","308,265,900"
3-Nov-20,"1,213.50","1,236.28","1,213.50","1,223.30","1,223.30","160,167,100"
2-Nov-20,"1,196.54","1,208.40","1,193.19","1,205.91","1,205.91","184,931,800"
30-Oct-20,"1,182.32","1,190.17","1,168.75","1,184.32","1,184.32","213,340,500"
29-Oct-20,"1,192.41","1,198.56","1,178.22","1,185.17","1,185.17","194,989,500"
28-Oct-20,"1,220.18","1,220.23","1,192.97","1,193.70","1,193.70","209,326,900"
27-Oct-20,"1,240.06","1,243.54","1,233.02","1,233.48","1,233.48","178,716,900"
26-Oct-20,"1,249.00","1,249.00","1,230.45","1,242.03","1,242.03","164,409,100"
23-Oct-20,"1,256.41","1,265.22","1,249.08","1,255.97","1,255.97","160,676,100"
22-Oct-20,"1,234.93","1,253.44","1,234.55","1,251.08","1,251.08","150,529,000"
21-Oct-20,"1,237.81","1,242.38","1,229.93","1,232.76","1,232.76","141,736,400"
20-Oct-20,"1,238.56","1,249.36","1,237.57","1,238.56","1,238.56","135,932,100"
